district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Kalafgan,07,18,تعمیر,1807100,Zardaalo Dara Sufla,Mohammad Hussain Shaheed High School,Takhar,1,3,4,Building,69.946517,36.750565
Namak Ab,06,18,تعمیر,1806082,Sad Bargan,Sad Bargan School,Takhar,1,2,3,Building,69.703216,36.576814
Taluqan,01,18,تعمیر,1801030,Qazaq,Abdul Rahman Taloqani High School,Takhar,1,2,3,Building,69.534438,36.761463
Taluqan,01,18,تعمیر,1801029,Tarma Baay,Tarma Baay School,Takhar,1,2,3,Building,69.497373,36.797438
Taluqan,01,18,تعمیر,1801028,Chenza Yee,Chenza Yee School,Takhar,1,1,2,Building,69.303629,36.726654
Taluqan,01,18,تعمیر,1801027,Joy Shekh,Joy Shekh School,Takhar,1,1,2,Building,69.636418,36.665957
Taluqan,01,18,تعمیر,1801019,Nahr Chaman,Fayaz Shaheed High School,Takhar,2,2,4,Building,69.558758,36.706207
Taluqan,01,18,قریه,1801018,D01 - Nahia 1,Malaria Clinic,Takhar,2,4,6,Village,69.567812,36.727230
Taluqan,01,18,تعمیر,1801008,Parchaw Village,Qari Sediq High School,Takhar,1,2,3,Building,69.480435,36.763625
Taluqan,01,18,تعمیر,1801007,D03 - Nahia 3,Bibi Hajera Girls High School,Takhar,1,2,3,Building,69.536838,36.741082
Yangi Qala,17,18,تعمیر,1817153,Jarbashi,Jarbashi School,Takhar,1,2,3,Building,69.680142,37.506438
Yangi Qala,17,18,تعمیر,1817152,Mughlan,Mughlan Secondary School,Takhar,1,1,2,Building,69.737737,37.409778
Zari,15,21,تعمیر,2115307,Bazar Kuhna Hamrukh Village,Bazar Kuhna Mosque,Balkh,1,2,3,Building,66.656557,35.798649
Zari,15,21,تعمیر,2115308,Naw Abad Baloch Village,Mir Hashim School,Balkh,1,1,2,Building,66.712398,35.977298
Zari,15,21,تعمیر,2115309,Murghzar Village,Imam Hassan School,Balkh,1,2,3,Building,66.664744,35.737647
Zari,15,21,تعمیر,2115317,Folad Village,Hazar Paimana Mosque,Balkh,1,1,2,Building,66.796163,35.866336
Zari,15,21,تعمیر,2115318,Baam Shakh Village,Khatimul Anbiya High School,Balkh,2,1,3,Building,66.732983,35.711175
Mazar-E-Sharif,01,21,تعمیر,2101023,D05 - Nahia 5,Sayed Ismail Balkhi School,Balkh,2,3,5,Building,67.094602,36.682961
Mazar-E-Sharif,01,21,تعمیر,2101024,D05 - Nahia 5,Nasaji,Balkh,1,1,2,Building,67.083013,36.678794
Mazar-E-Sharif,01,21,تعمیر,2101029,D07 - Nahia 7 Karta-E-Khurasan,Khurasan Girls School,Balkh,3,4,7,Building,67.122592,36.691225
Mazar-E-Sharif,01,21,تعمیر,2101030,D07 - Nahia 7 Karta-E-Sulh,Ustad Jaahed School,Balkh,1,1,2,Building,67.138650,36.715935
Mazar-E-Sharif,01,21,تعمیر,2101041,D10 - Nahia 10 Guzar Ali Chopan,Shaheed Abdul Ali Mazari Number 2 School,Balkh,3,4,7,Building,67.156913,36.719205
Mazar-E-Sharif,01,21,تعمیر,2101042,D06 - Nahia 6 Gas Institute,Neft O Gas Institute,Balkh,2,2,4,Building,67.126962,36.710426
Dehdadi,03,21,قریه,2103052,Kod Wa Barq Familiha,Bibi Zainab School,Balkh,3,4,7,Village,66.931539,36.667831
Dehdadi,03,21,تعمیر,2103053,Kaka Kot Village,Kaka Kot School,Balkh,1,2,3,Building,66.951078,36.704247
Dehdadi,03,21,تعمیر,2103056,Pul Baboo Village,Ghulam Mohammad Shaheed School,Balkh,1,3,4,Building,67.005136,36.665771
Dehdadi,03,21,تعمیر,2103057,Pusht Bagh,Saleh Mohammad School,Balkh,2,2,4,Building,66.966118,36.657281
Dehdadi,03,21,تعمیر,2103062,Shekh Abad Village,Shaikh Abad School,Balkh,2,2,4,Building,66.985634,36.669213
Char Kent,04,21,تعمیر,2104274,Shar Shar Village,Shar Shar Sufla School,Balkh,1,1,2,Building,67.188822,36.415722
Balkh,06,21,تعمیر,2106149,Rabat Village,Amir Mohammad Tokhi School,Balkh,1,2,3,Building,66.892877,36.738669
Balkh,06,21,تعمیر,2106151,District Compound,Sehat Aama Clinic,Balkh,1,2,3,Building,66.898296,36.751156
Balkh,06,21,تعمیر,2106162,Colombo Village,Colombo School,Balkh,1,1,2,Building,66.940186,36.833166
Balkh,06,21,تعمیر,2106163,Dewali Maidan Village,Dewali Maidan School,Balkh,1,2,3,Building,66.910528,36.906157
Balkh,06,21,تعمیر,2106173,Arghandab Village,Arghandab Mosque,Balkh,1,1,2,Building,66.788350,36.825956
Balkh,06,21,تعمیر,2106174,Oof Maleek Village,Oof Maleek School,Balkh,1,2,3,Building,66.879870,36.687616
Sholgara,07,21,تعمیر,2107244,Qor Baqa Khana Village,Bibi Amena School,Balkh,1,2,3,Building,66.885849,36.386320
Sholgara,07,21,تعمیر,2107245,Agha Jan Village,Agha Jan School,Balkh,1,1,2,Building,66.886432,36.399429
Sholgara,07,21,تعمیر,2107250,Baba Ewaz Village,Ahmad Alkhadroya School,Balkh,2,2,4,Building,66.880522,36.364049
Sholgara,07,21,تعمیر,2107251,Sar Asyab Village,Bibi Maryam School,Balkh,1,2,3,Building,66.880517,36.349034
Sholgara,07,21,تعمیر,2107256,Qaland Khalili Village,Qaland Khalili School,Balkh,1,2,3,Building,66.932997,36.413125
Sholgara,07,21,تعمیر,2107257,Ai Latan Village,Ai Latan School,Balkh,1,2,3,Building,66.914348,36.316026
Sholgara,07,21,تعمیر,2107273,Qor Baqa Khana,Lal Mohammad Private House,Balkh,1,1,2,Building,66.887580,36.392708
Chimtal,08,21,تعمیر,2108211,Mir Qasim Jan Village,Mir Qasim Jan School,Balkh,1,1,2,Building,66.908426,36.641427
Chimtal,08,21,تعمیر,2108232,Rabat Village,Rabat School,Balkh,1,1,2,Building,66.943973,36.596278
Chimtal,08,21,قریه,2108233,Nawshahr Alizai Village,Nawshahr Alizai Mosque,Balkh,1,2,3,Village,66.577654,36.726900
Dawlat Abad,09,21,تعمیر,2109133,Tali Gag Village,Tali Gag School,Balkh,1,2,3,Building,66.773315,37.025826
Dawlat Abad,09,21,تعمیر,2109134,Hashim Abad Watani Village,Hashim Abad Mosque,Balkh,1,1,2,Building,66.873801,36.964686
Dawlat Abad,09,21,تعمیر,2109139,Zadiyan Village,Zadiyan School,Balkh,1,1,2,Building,66.943312,37.028715
Dawlat Abad,09,21,تعمیر,2109140,Bay Mashhad Village,Bay Mashhad School,Balkh,1,1,2,Building,66.825439,36.945351
Khulm,10,21,تعمیر,2110079,Sarhang,Khwaja Burhan Girls School,Balkh,2,1,3,Building,67.727776,36.704374
Khulm,10,21,تعمیر,2110080,Khanqah Mirza Khairuddin,Amin Hussain Girls School,Balkh,2,1,3,Building,67.686904,36.711532
Char Bolak,11,21,تعمیر,2111180,Aaq Tapa,Abu Shakoor Balkhi School,Balkh,1,1,2,Building,66.670564,36.753809
Char Bolak,11,21,تعمیر,2111181,Ahmad Abad Village,Ahmad Abad School,Balkh,1,2,3,Building,66.623541,36.895894
Char Bolak,11,21,تعمیر,2111184,Arnagha Village,Arnagha School,Balkh,1,2,3,Building,66.680348,36.825464
Char Bolak,11,21,تعمیر,2111185,Aadina Mosque Village,Adeena Mosque,Balkh,1,1,2,Building,66.702541,36.894368
Char Bolak,11,21,تعمیر,2111190,Borolok Village,Borolok School,Balkh,1,1,2,Building,66.564852,36.925224
Char Bolak,11,21,تعمیر,2111191,Taimorak Village,Badaye Bakhli School,Balkh,1,1,2,Building,66.594366,36.772549
Char Bolak,11,21,تعمیر,2111201,Chahar Bolak District Office,Districts Building,Balkh,1,1,2,Building,66.705579,36.767444
Char Bolak,11,21,تعمیر,2111202,Mangoli Village,Mangoli School,Balkh,1,1,2,Building,66.593146,36.877821
Char Bolak,11,21,تعمیر,2111206,Shekh Tash Taimor Village,Jame Mosque,Balkh,1,1,2,Building,66.743505,36.842491
Char Bolak,11,21,تعمیر,2111207,Mula Shaheen Village,Mula Shaheen Private House,Balkh,1,1,2,Building,66.749129,36.785730
Shortepa,12,21,تعمیر,2112109,Jirtan Village,Jirtan School,Balkh,1,2,3,Building,67.325416,37.174820
Shortepa,12,21,تعمیر,2112110,Hazara Toqi Village,Tashguzar School,Balkh,1,2,3,Building,67.210011,37.202179
Kaldar,13,21,تعمیر,2113101,Tazlaq Village,Tazlaq Secondary School,Balkh,1,2,3,Building,67.505494,37.233454
Kaldar,13,21,تعمیر,2113102,Taza Areekh Village,Haji Wali Private House,Balkh,1,1,2,Building,67.743683,37.185032
Kaldar,13,21,تعمیر,2113105,Boz Areekh Village,Bozareekh Secondary School,Balkh,1,1,2,Building,67.720039,37.195299
Kaldar,13,21,تعمیر,2113106,Qaraja Village,Kareem Qaryadar Private House,Balkh,1,1,2,Building,67.678171,37.198786
Kishindeh,14,21,تعمیر,2114290,Kushenda Bala Village,Kushenda Bala School,Balkh,1,2,3,Building,66.900775,36.079690
Kishindeh,14,21,تعمیر,2114291,Kushenda Payan Village,Kushenda Payan School,Balkh,1,2,3,Building,66.921538,36.153085
Zari,15,21,تعمیر,2115313,Banigo Village,Abdaalgan Secondary School,Balkh,1,2,3,Building,66.732980,35.831711
Sar-E-Pul,01,22,تعمیر,2201027,Qashqari Village,Qashqari Village School,Sar-E-Pul,2,2,4,Building,66.028341,36.149210
Sar-E-Pul,01,22,تعمیر,2201034,Se Toot Village,Se Toot Village Mosque,Sar-E-Pul,1,1,2,Building,66.039387,36.032481
Sayad,02,22,تعمیر,2202051,Tarbalaq,Tarbalaq Secondary School,Sar-E-Pul,1,1,2,Building,65.905953,36.103342
Sayad,02,22,قریه,2202052,Dara-E-Band Village,Dara-E-Band Mosque Property,Sar-E-Pul,2,2,4,Village,65.705800,36.096989
Sayad,02,22,تعمیر,2202057,Mirza Walang,Mirza Walang Secondary School,Sar-E-Pul,2,1,3,Building,65.794741,35.992685
Kohistanat,03,22,تعمیر,2203062,Nagala,Nagala Mosque,Sar-E-Pul,1,1,2,Building,65.883840,35.911896
Kohistanat,03,22,تعمیر,2203063,Sar Deh,Sar Deh Mosque,Sar-E-Pul,2,2,4,Building,65.896343,35.835897
Sang Charak,05,22,تعمیر,2205103,Sabz Village,Sabz Village Mosque,Sar-E-Pul,2,2,4,Building,66.336885,35.866241
Sang Charak,05,22,تعمیر,2205104,Topkhana Village,Topkhana Village Mosque,Sar-E-Pul,1,2,3,Building,66.351437,35.896896
Sang Charak,05,22,تعمیر,2205113,Charoo Ulya,Charoo Mosque,Sar-E-Pul,1,1,2,Building,66.442556,35.859396
Sang Charak,05,22,تعمیر,2205119,Farshaqan Miyana,Farshqan Miyana Mosque,Sar-E-Pul,1,1,2,Building,66.458844,35.936377
Sang Charak,05,22,تعمیر,2205120,Larak Afghania,Rostam Qaryadar Mosque,Sar-E-Pul,1,1,2,Building,66.409731,36.055501
Gosfandi,06,22,تعمیر,2206129,Shah Mard Village,Shah Mard Village Madrassa,Sar-E-Pul,1,2,3,Building,66.486185,35.869730
Gosfandi,06,22,تعمیر,2206130,Karan Village,Karan Village Madrassa,Sar-E-Pul,2,2,4,Building,66.523682,35.910866
Gosfandi,06,22,تعمیر,2206134,Alghan Afghania,Alghan Afghania Mosque,Sar-E-Pul,2,2,4,Building,66.531897,36.000279
Balkhab,07,22,تعمیر,2207097,Zawj,Zawj Madrassa,Sar-E-Pul,2,2,4,Building,66.403474,35.308917
Balkhab,07,22,تعمیر,2207098,Shekh Mang,Bajgah Madrassa,Sar-E-Pul,1,3,4,Building,66.608990,35.670018
Balkhab,07,22,تعمیر,2207100,Pitab,Pitab Secondar School,Sar-E-Pul,2,2,4,Building,66.569474,35.668466
Chighcheran,01,23,تعمیر,2301001,Taht Shahr,Sultan Alauddin Ghori High School,Ghor,2,4,6,Building,65.258694,34.521151
Sar-E-Pul,01,22,تعمیر,2201003,Rahmat Abad Village,Rahmat Abad High School,Sar-E-Pul,2,4,6,Building,65.934375,36.225789
Sar-E-Pul,01,22,تعمیر,2201004,Imam Khord Village,Imam Yahya High School,Sar-E-Pul,2,3,5,Building,65.949304,36.214899
Kohistanat,03,22,تعمیر,2203065,Deh Surkh Village,Himat Deh Surkh O Pas Nai High School,Sar-E-Pul,1,2,3,Building,65.771793,35.766678
Sozma Qala,04,22,تعمیر,2204036,Gorkaab Ulya,Gorkaab Ulya Mosque,Sar-E-Pul,1,2,3,Building,66.234913,36.024506
Sozma Qala,04,22,تعمیر,2204037,Tanzeel,Tanzeel Mosque,Sar-E-Pul,1,1,2,Building,66.222412,36.004713
Sozma Qala,04,22,تعمیر,2204041,Khanqah,Khanqah Girls Secondary School,Sar-E-Pul,1,3,4,Building,66.143492,35.884553
Gosfandi,06,22,تعمیر,2206136,Yoltarab Village,Yoltarab Girls Secondary School,Sar-E-Pul,1,2,3,Building,66.518634,35.954844
Balkhab,07,22,تعمیر,2207087,Tagab Takht,Tagab Takht Madrassa,Sar-E-Pul,1,2,3,Building,66.917591,35.658527
Balkhab,07,22,تعمیر,2207090,Doshakh,Doshakh School,Sar-E-Pul,2,3,5,Building,66.795448,35.463656
Balkhab,07,22,تعمیر,2207091,Jorazi,Tolo Jorazi High School,Sar-E-Pul,2,2,4,Building,66.716750,35.577250
Balkhab,07,22,تعمیر,2207094,Pay Ziarat,Pay Ziarat Mosque,Sar-E-Pul,2,3,5,Building,66.441407,35.459352
Balkhab,07,22,تعمیر,2207095,Peghola,Peghola Madrassa,Sar-E-Pul,2,2,4,Building,66.331729,35.415649
Kohistanat,03,22,قریه,2203139,Nimak,Mosque,Sar-E-Pul,1,2,3,Village,65.569336,35.546213
Sozma Qala,04,22,تعمیر,2204140,Malek Uzbakia Village,School,Sar-E-Pul,1,2,3,Building,66.124363,35.875473
Sang Charak,05,22,قریه,2205142,Khwaja Sorkh,Khwaja Surkh School,Sar-E-Pul,1,2,3,Village,66.373932,36.039848
Gosfandi,06,22,تعمیر,2206143,Chaghdan,Mosque,Sar-E-Pul,1,2,3,Building,66.666373,36.091068
Sar-E-Pul,01,22,تعمیر,2201008,Korak Uzbekya Village,Korak Uzbekya Secondary School,Sar-E-Pul,1,2,3,Building,65.872253,36.281507
Sar-E-Pul,01,22,تعمیر,2201009,Baghawi Uzbekya Village,Baghawi Uzbekya Secondary School,Sar-E-Pul,2,3,5,Building,66.077673,36.177988
Sar-E-Pul,01,22,تعمیر,2201010,Qosh Tapa Village,Qosh Tapa High School,Sar-E-Pul,1,4,5,Building,65.891395,36.342979
Sar-E-Pul,01,22,قریه,2201020,Qadam Jay Village,Qadam Jay Madrassa,Sar-E-Pul,1,1,2,Village,66.177197,36.233098
Sayad,02,22,تعمیر,2202048,Mula Sakhidad,Mula Sakhidad Girls High School,Sar-E-Pul,1,3,4,Building,65.832249,36.140238
Sayad,02,22,تعمیر,2202049,Angushka,Angushka Secondary School,Sar-E-Pul,1,2,3,Building,65.858704,36.180225
Sayad,02,22,قریه,2202053,Qara Khowal Village,Qara Khowal Mosque Property,Sar-E-Pul,2,2,4,Village,65.646855,36.039794
Sayad,02,22,قریه,2202054,Shah Toot Village,Shah Toot Village Madrassa,Sar-E-Pul,1,2,3,Village,65.547514,36.009507
Kohistanat,03,22,تعمیر,2203069,Qala-E-Shahr Madrassa,Qala-E-Shahr Madrassa,Sar-E-Pul,1,1,2,Building,65.568295,35.546314
Kohistanat,03,22,تعمیر,2203070,Naw Qala Shahr,Haji Mula Qurban Mosque,Sar-E-Pul,1,2,3,Building,65.552335,35.524155
Kohistanat,03,22,تعمیر,2203082,Safid Maidan Shina,Azadi High School,Sar-E-Pul,1,2,3,Building,66.196260,35.282739
Kohistanat,03,22,تعمیر,2203083,Dahna Kashan,Shaheed Mazari High School,Sar-E-Pul,1,1,2,Building,66.233957,35.133666
Sozma Qala,04,22,تعمیر,2204043,Sabzi Kalan,Sabzi Kalan Mosque,Sar-E-Pul,1,1,2,Building,66.283850,36.111049
Sozma Qala,04,22,تعمیر,2204047,Bagh Ishaaq Village,Bagh Ishaaq Village Mosque,Sar-E-Pul,1,1,2,Building,66.290197,36.069899
Sang Charak,05,22,تعمیر,2205106,Khulkhana Tafaikhor Village,Irfan Secondary School,Sar-E-Pul,2,2,4,Building,66.368679,35.964879
Sang Charak,05,22,تعمیر,2205111,Farshaqan Kalan Village,Chinar Mosque,Sar-E-Pul,2,2,4,Building,66.442159,35.959682
Sang Charak,05,22,تعمیر,2205116,Archatoo,Archatoo Primary School,Sar-E-Pul,2,2,4,Building,66.397521,36.010723
Sang Charak,05,22,تعمیر,2205121,Pushta Kabood Aab Village,Kabood Aab Mosque,Sar-E-Pul,1,1,2,Building,66.368599,35.730409
Gosfandi,06,22,تعمیر,2206124,Shekyar Village,Shekyar Village Mosque,Sar-E-Pul,1,1,2,Building,66.575538,36.066515
Gosfandi,06,22,تعمیر,2206132,Aabdara Village,Aabdara Village Mosque,Sar-E-Pul,1,1,2,Building,66.563506,35.768230
Chighcheran,01,23,تعمیر,2301005,Kanjak,Zartali School,Ghor,2,3,5,Building,65.408626,34.328745
Chighcheran,01,23,تعمیر,2301006,Qebi Dahna Shor Qol,Bazaar Qibi,Ghor,1,3,4,Building,65.402594,34.205761
Chighcheran,01,23,قریه,2301008,Tagha-E-Taimur,Tagha-E-Taimur School,Ghor,1,3,4,Village,65.120760,34.453427
Chighcheran,01,23,تعمیر,2301009,Sar Pul Kasi,Kaasi Ulya School,Ghor,1,3,4,Building,65.292910,34.600994
Chighcheran,01,23,قریه,2301017,Lashara Sufla,Abdul Ahmad Open Space,Ghor,2,2,4,Village,64.921342,34.645033
Chighcheran,01,23,تعمیر,2301018,Kashkak,That Ghelmeen High School,Ghor,2,3,5,Building,65.303531,34.873561
Chighcheran,01,23,قریه,2301023,Aab Reem,Abdul Haq Open Space,Ghor,2,2,4,Village,65.851977,35.039998
Chighcheran,01,23,قریه,2301024,Pahlo Sang,Nadir Khan Pahlo Sang Qala,Ghor,1,3,4,Village,65.551358,34.282063
Chighcheran,01,23,تعمیر,2301028,Qots Sufla,Qots Sufla Secondary School,Ghor,2,2,4,Building,65.361591,34.564244
Chighcheran,01,23,تعمیر,2301029,Darband,Sadmen Ghelmeen Primary School,Ghor,2,3,5,Building,65.248947,34.873494
Chighcheran,01,23,قریه,2301036,Shah Madad,Habibullah Dahoor Private House,Ghor,1,3,4,Village,65.620824,35.131710
Chighcheran,01,23,قریه,2301045,Ghaar Siyagak,Tameer Hassan,Ghor,2,3,5,Village,65.440999,34.883626
Chighcheran,01,23,تعمیر,2301235,Bara Khana,Maidan Bara Khana,Ghor,2,2,4,Building,64.819492,34.604546
Duleena,02,23,قریه,2302100,Chashma Safid,Mohammad Yaqoob Private House,Ghor,1,1,2,Village,64.904666,33.883720
Duleena,02,23,قریه,2302101,Gala Asyaab,Gala Asyaab Bazar,Ghor,2,1,3,Village,64.881743,34.272612
Duleena,02,23,تعمیر,2302108,Salmeen,Salmeen School,Ghor,2,1,3,Building,64.800374,34.407456
Dawlatyar,03,23,تعمیر,2303046,Markaz Dawlat Yar,Dawlatyar School,Ghor,1,2,3,Building,65.786810,34.555529
Dawlatyar,03,23,قریه,2303047,Joy Nashr,Poshta Noor School,Ghor,2,2,4,Village,65.917177,34.634581
Dawlatyar,03,23,تعمیر,2303049,Shiniya,Shiniya Mosque,Ghor,1,2,3,Building,65.660504,34.524782
Dawlatyar,03,23,تعمیر,2303050,Sharshar,Khairullah Mosque,Ghor,1,2,3,Building,65.716604,34.582218
Dawlatyar,03,23,تعمیر,2303052,Samak Village,Bazar Samak Tent,Ghor,1,1,2,Building,65.838234,34.666768
Dawlatyar,03,23,تعمیر,2303053,Narm Tih,Narm Tih Mosque,Ghor,1,1,2,Building,65.868038,34.435091
Dawlatyar,03,23,تعمیر,2303057,Loka Mazar,Loka Mazar Mosque,Ghor,1,2,3,Building,65.670753,34.441210
Dawlatyar,03,23,تعمیر,2303058,Awlad Qadam,Jira School,Ghor,2,1,3,Building,65.735942,34.669888
Char Sada,04,23,تعمیر,2304059,Malmanj,Mohammad Ibrahim Private House,Ghor,2,2,4,Building,64.951968,35.141038
Char Sada,04,23,تعمیر,2304060,Khafak,Khafak Mosque,Ghor,1,2,3,Building,65.072226,35.030958
Char Sada,04,23,تعمیر,2304063,Deh Haji,Deh Haji School,Ghor,1,2,3,Building,65.187633,35.039319
Char Sada,04,23,تعمیر,2304064,Gawhar Qala,Qala Gawhar High School,Ghor,1,2,3,Building,65.131526,35.177078
Char Sada,04,23,تعمیر,2304071,Kandakh,Bagh Habibullah,Ghor,1,1,2,Building,64.898816,35.179502
Pasaband,05,23,تعمیر,2305111,Bazar Sangan,Sangan School,Ghor,1,2,3,Building,65.063492,33.579600
Pasaband,05,23,قریه,2305114,Kalagi Village,Bazar Kalagi Tent,Ghor,2,2,4,Village,65.104441,33.701554
Pasaband,05,23,قریه,2305118,Shinkot Village,Kuhna Shenkot Bazar Tent,Ghor,1,1,2,Village,64.848727,33.692164
Pasaband,05,23,تعمیر,2305119,Norak Markaz,Norak Primary School,Ghor,1,1,2,Building,64.881465,33.786551
Shahrak,06,23,تعمیر,2306089,Yaka Sang Village,Yak Sang School,Ghor,1,1,2,Building,64.392216,34.291159
Shahrak,06,23,تعمیر,2306090,Pala Surkhak,Bedan School,Ghor,1,1,2,Building,64.545330,34.460179
Lal Wa Sarjangal,07,23,تعمیر,2307137,Dahan Bareeki Village,Qazal School,Ghor,1,3,4,Building,66.043471,34.459791
Lal Wa Sarjangal,07,23,تعمیر,2307138,Sare Nodah Village,Garm Aab Sufla School,Ghor,1,1,2,Building,65.949525,34.454258
Lal Wa Sarjangal,07,23,تعمیر,2307153,Diwkan Village,Bekh Sang School,Ghor,1,3,4,Building,66.124656,34.555390
Lal Wa Sarjangal,07,23,تعمیر,2307154,Asad Abad Village,Sare Diwalak School,Ghor,1,1,2,Building,66.358619,34.420404
Lal Wa Sarjangal,07,23,تعمیر,2307158,Sang Zard,Sang Zard School,Ghor,1,1,2,Building,66.043568,34.584848
Lal Wa Sarjangal,07,23,تعمیر,2307159,Qala-E-Shakarki,Qala Shakraki Mosque,Ghor,1,1,2,Building,66.341465,34.486574
Lal Wa Sarjangal,07,23,قریه,2307172,Sang Polak Village,Ghighanak School,Ghor,1,1,2,Village,66.206109,34.730060
Lal Wa Sarjangal,07,23,قریه,2307173,Shinya Haigal,Shinya Haigal Mosque,Ghor,1,1,2,Village,66.214219,34.572209
Lal Wa Sarjangal,07,23,تعمیر,2307177,Sar Sokhta Village,Sar Sokhta Mosque,Ghor,1,1,2,Building,66.015189,34.519620
Taywara,08,23,قریه,2308209,Pas Qala,Pas Qala High School,Ghor,1,2,3,Village,64.418148,33.524506
Taywara,08,23,تعمیر,2308211,Aashoqan,Aashoqan School,Ghor,1,2,3,Building,64.262536,33.589883
Taywara,08,23,تعمیر,2308212,Larqa,Abdullah Larqa Private House,Ghor,2,1,3,Building,64.155458,33.579481
Tulak,09,23,قریه,2309187,Dayee Village,Dayee Secondary School,Ghor,1,2,3,Village,63.557427,34.179689
Chighcheran,01,23,قریه,2301012,Shora Bazar,Lal Mohammad Private House,Ghor,2,3,5,Village,65.001043,34.675002
Chighcheran,01,23,تعمیر,2301013,Badgah,Badgah Girls High School,Ghor,1,3,4,Building,65.488093,34.520730
Chighcheran,01,23,قریه,2301034,Sanmay Rakhna Safid,Sanmay Rakhna Safid Mosque,Ghor,2,1,3,Village,64.817480,34.713265
Chighcheran,01,23,تعمیر,2301035,Ghulaman,Ghulaman School,Ghor,1,4,5,Building,64.650984,34.554584
Char Sada,04,23,قریه,2304068,Chahar Qadoq,Chahar Qadoq Mosque,Ghor,2,1,3,Village,65.047825,35.249977
Char Sada,04,23,تعمیر,2304069,Maseen,Maseen Mosque,Ghor,1,2,3,Building,65.059189,35.175168
Shahrak,06,23,قریه,2306083,Nasfanji,Nasfanj Primary School,Ghor,1,1,2,Village,64.115489,34.268018
Lal Wa Sarjangal,07,23,قریه,2307143,Peshband Bala Village,Joqal School,Ghor,1,2,3,Village,66.161687,34.366654
Lal Wa Sarjangal,07,23,قریه,2307144,Qolani Village,Qolani School,Ghor,1,1,2,Village,66.235780,34.410865
Lal Wa Sarjangal,07,23,تعمیر,2307147,Rashk Village,Rashk Mosque,Ghor,1,1,2,Building,66.341124,34.519498
Lal Wa Sarjangal,07,23,تعمیر,2307148,Siyasang Village,Sray Karman School,Ghor,1,2,3,Building,66.521053,34.460955
Taywara,08,23,قریه,2308215,Darz Aab,Nili School,Ghor,2,3,5,Village,64.412453,33.243313
Taywara,08,23,قریه,2308216,Khum Paay Hisar,Khum Paay Hisar School,Ghor,1,1,2,Village,64.472902,33.619825
Taywara,08,23,قریه,2308219,Yakhan Ulya,Yakhan Ulya High School,Ghor,1,2,3,Village,64.535006,33.539925
Taywara,08,23,تعمیر,2308222,Kelgo,Kelgo School,Ghor,1,2,3,Building,64.557132,33.734870
Taywara,08,23,تعمیر,2308223,Yageen,Sayed Alauddin Private House,Ghor,1,2,3,Building,64.231931,33.465226
Taywara,08,23,تعمیر,2308227,Zarni,Zarni Secondary School,Ghor,2,1,3,Building,64.334765,33.179060
Chighcheran,01,23,قریه,2301031,Hawz Saaleh,Hawz Saaleh,Ghor,2,2,4,Village,64.769593,35.216060
Duleena,02,23,قریه,2302104,Khwaja Gan,Fazal Ahmad Bagh,Ghor,2,2,4,Village,64.859652,34.444351
Duleena,02,23,قریه,2302105,Razqan,Arbab Sakhi Private House,Ghor,2,1,3,Village,64.693572,34.393528
Duleena,02,23,قریه,2302110,Chehl Gazai,Sar Chehl Gazai Mosque,Ghor,1,2,3,Village,64.854952,34.007164
Char Sada,04,23,قریه,2304066,Pas Archa,Najibullah Private House,Ghor,1,1,2,Village,64.879651,35.191852
Pasaband,05,23,تعمیر,2305129,Bazar Dahan Pushta Roq,Dahna Dewalak School,Ghor,2,1,3,Building,65.194225,33.702562
Shahrak,06,23,قریه,2306078,Dahn Hisar,Dahn Hisar School,Ghor,2,1,3,Village,64.070928,34.153099
Shahrak,06,23,قریه,2306079,Kamanj,Girls School,Ghor,1,1,2,Village,64.347637,34.384388
Shahrak,06,23,قریه,2306086,Barzo,Barzo Primary School,Ghor,1,2,3,Village,64.094278,34.505597
Shahrak,06,23,قریه,2306087,Margha,Margha Primary School,Ghor,1,1,2,Village,64.264947,34.351462
Lal Wa Sarjangal,07,23,تعمیر,2307140,Qala-E-Sang Shanda Village,Sang Shanda School,Ghor,2,1,3,Building,65.999437,34.392513
Lal Wa Sarjangal,07,23,تعمیر,2307156,Dahan Laka Sang Village,Dahn Laka Sang Mosque,Ghor,1,1,2,Building,65.932029,34.578984
Lal Wa Sarjangal,07,23,تعمیر,2307161,Kata Chashma Village,Kata Chashma School,Ghor,1,2,3,Building,66.026427,34.664559
Lal Wa Sarjangal,07,23,قریه,2307168,Safid Aab Shinya,Safid Aab Shinya Mosque,Ghor,1,1,2,Village,66.592801,34.570215
Lal Wa Sarjangal,07,23,قریه,2307169,Tagab Sayeed,Tagab Sayeed Mosque,Ghor,1,2,3,Village,66.557030,34.610369
Lal Wa Sarjangal,07,23,قریه,2307175,Talto Village,Talto Karman School,Ghor,1,1,2,Village,66.469683,34.469031
Tulak,09,23,قریه,2309181,Dahan Guldan,Dahan Guldan Mosque,Ghor,1,1,2,Village,63.900409,33.991193
Tulak,09,23,تعمیر,2309182,Kabotar Khan,Kabotar Khan Primary School,Ghor,2,2,4,Building,63.726146,33.976566
Saghar,10,23,قریه,2310199,Dila,Dila Bagh,Ghor,2,1,3,Village,63.468303,33.542980
Saghar,10,23,قریه,2310200,Dahan Dotayee,Dahn Dotayee School,Ghor,1,1,2,Village,63.972338,33.853533
